id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
6596,2,0,1,5,0,0,0,116,2018,2,28,0,0,0,0,70.0,0,0
25244,2,0,0,1,0,0,2,2,2018,12,21,4,1,0,6,0.0,2,0
19454,2,1,1,0,0,0,0,4,2018,8,28,1,0,0,0,169.0,0,0
15951,2,0,0,3,0,0,0,103,2018,12,4,0,0,0,0,80.0,0,0
13236,2,0,2,5,0,0,1,6,2017,10,31,1,0,0,0,97.02,3,0
22971,2,0,2,5,0,0,1,202,2018,8,13,1,0,0,0,109.66,0,1
35766,2,0,3,5,0,0,0,96,2017,7,11,1,0,0,0,63.75,1,1
6272,3,0,0,3,0,0,1,55,2018,3,29,1,0,0,0,123.3,1,0
11032,2,0,2,3,0,0,0,240,2018,10,27,1,0,0,0,90.95,0,0
27694,2,1,2,5,0,0,0,29,2017,10,4,0,0,0,0,77.5,0,0
6000,1,0,0,2,0,0,0,151,2018,1,15,0,0,0,0,71.0,0,0
181,2,0,0,1,1,0,0,317,2018,9,1,1,0,0,0,106.2,0,1
34538,2,1,1,4,0,0,0,6,2018,11,7,1,0,0,0,147.2,3,0
19690,2,1,2,3,0,0,0,33,2018,8,1,1,0,0,0,125.1,1,0
27639,2,0,0,2,0,0,0,112,2018,7,1,0,0,0,0,72.25,0,0
37944,3,0,1,3,0,0,1,24,2018,10,17,1,0,0,0,201.25,2,0
22365,2,2,2,2,0,0,3,37,2017,11,6,1,0,0,0,194.5,1,0
21898,2,0,2,5,0,0,0,178,2018,8,24,1,0,0,0,99.45,1,0
9577,1,0,1,2,0,0,0,115,2018,6,27,0,0,0,0,76.0,0,0
22633,2,0,0,2,0,0,1,77,2018,5,17,1,0,0,0,140.4,1,0
28262,2,0,2,1,0,0,0,23,2017,10,4,0,0,0,0,105.0,0,0
5140,1,0,0,3,0,0,0,6,2017,9,22,0,0,0,0,65.0,0,0
16590,2,0,2,3,0,0,0,146,2018,4,29,0,0,0,0,95.0,1,0
32772,3,0,0,2,0,0,1,49,2018,6,2,1,0,0,0,159.3,1,1
18264,2,0,2,2,0,0,0,136,2018,8,26,0,0,0,0,72.25,2,0
17176,2,0,2,5,0,0,1,82,2018,11,6,1,0,0,0,146.6,1,1
18833,1,0,0,1,0,0,0,68,2017,11,2,2,0,0,0,65.0,0,0
14279,2,0,0,3,0,0,0,308,2018,12,23,1,0,0,0,78.3,2,1
34410,2,0,2,2,0,0,0,98,2018,10,30,1,0,0,0,90.45,1,1
29465,2,0,2,2,0,0,0,2,2018,5,23,0,0,0,0,110.21,0,1
34842,2,0,2,2,0,0,0,93,2018,10,1,0,0,0,0,115.0,0,1
27680,2,0,2,5,0,0,0,250,2018,9,8,1,0,0,0,95.0,2,0
4480,2,0,1,2,0,0,0,121,2018,4,1,0,0,0,0,71.0,1,0
6264,2,0,0,3,0,0,0,183,2018,9,8,0,0,0,0,110.0,1,1
14446,1,0,2,2,0,0,0,103,2018,4,17,1,0,0,0,115.0,0,1
23536,0,2,0,1,0,0,2,37,2018,5,27,1,0,0,0,108.11,2,0
7594,2,0,2,4,0,0,0,147,2018,4,5,1,0,0,0,104.21,1,1
28580,2,0,1,1,0,0,1,0,2017,10,23,0,0,0,0,87.2,0,0
18920,2,0,2,1,0,0,1,1,2018,5,22,1,0,0,0,176.0,1,0
18408,2,1,1,1,0,0,0,18,2018,9,21,0,0,0,0,128.0,1,0
6814,2,0,2,2,0,0,2,194,2018,7,10,1,0,0,0,81.82,0,1
5298,2,2,0,1,0,0,3,20,2018,8,11,1,0,0,0,231.0,1,0
30468,1,0,0,2,2,0,0,9,2017,12,11,1,0,0,0,0.0,1,0
29604,2,0,2,2,0,0,1,84,2018,8,27,1,0,0,0,118.15,1,0
6725,2,0,0,3,0,0,2,78,2018,3,24,1,0,0,0,114.3,1,1
24645,2,0,2,2,1,0,0,134,2018,8,21,1,0,0,0,76.93,0,0
13125,3,0,1,1,0,0,1,50,2018,5,13,1,0,0,0,159.3,1,1
34557,3,0,2,2,0,0,0,133,2018,7,16,1,0,0,0,137.7,2,0
24186,2,0,0,4,0,0,0,160,2018,7,13,1,0,0,0,97.75,0,1
6003,2,1,2,2,0,0,0,149,2018,8,12,1,0,0,0,130.5,0,1
29698,2,0,0,2,0,0,0,301,2018,11,18,0,0,0,0,52.0,1,1
134,2,0,0,1,0,0,0,80,2018,12,11,0,0,0,0,75.0,0,0
8132,1,0,0,1,0,0,0,54,2018,11,20,2,0,0,0,79.0,0,0
25393,2,0,1,2,0,0,0,156,2018,7,25,1,0,0,0,105.3,1,1
38739,2,1,1,3,0,0,0,64,2018,10,31,1,0,0,0,114.75,3,0
4227,2,0,0,1,0,0,2,46,2017,10,25,1,0,0,0,111.6,1,0
15726,2,0,0,3,0,0,0,164,2018,8,24,1,0,0,0,76.46,1,0
11834,2,0,1,1,0,0,0,128,2018,8,8,1,0,0,0,114.3,1,0
3406,2,0,0,2,0,0,0,39,2018,3,2,0,0,0,0,85.0,0,0
13614,2,0,1,5,0,0,1,1,2017,8,20,1,0,0,0,127.33,3,0
26921,1,0,0,3,0,0,4,269,2018,12,29,0,0,0,0,106.0,0,0
5557,2,1,2,1,0,0,0,5,2018,11,19,1,0,0,0,107.67,2,0
35691,2,0,1,4,0,0,1,115,2018,8,8,1,0,0,0,131.4,1,0
6597,2,0,1,1,2,0,0,13,2018,4,26,0,0,0,0,96.0,0,0
24379,2,0,1,3,0,0,0,268,2018,4,8,0,0,0,0,78.0,0,0
4430,2,0,0,1,0,1,1,0,2018,1,2,1,0,0,0,114.0,1,0
32670,2,0,1,2,0,0,2,32,2018,1,25,1,0,0,0,86.75,1,0
3165,2,0,2,2,0,0,1,242,2018,10,14,1,0,0,0,95.13,2,0
8105,3,0,0,3,0,0,1,112,2018,12,28,1,0,0,0,131.13,0,1
15134,2,0,2,2,0,0,0,39,2018,8,27,0,0,0,0,85.0,0,0
10583,2,0,2,2,0,0,0,155,2018,6,26,1,0,0,0,90.95,1,0
40642,2,0,2,5,0,0,0,89,2017,11,15,1,0,0,0,72.25,3,0
25119,1,0,0,2,0,0,0,88,2018,10,7,2,0,0,0,90.0,0,0
29560,2,0,0,3,0,0,0,71,2018,5,10,0,0,0,0,140.0,0,0
13600,2,0,0,3,2,0,0,7,2018,3,26,1,0,0,0,101.0,0,1
1390,3,0,0,3,0,0,1,0,2018,9,27,2,0,0,0,205.0,0,0
11265,2,0,1,1,0,0,1,146,2018,8,19,1,0,0,0,127.8,2,0
32549,2,0,0,4,0,0,0,224,2018,9,28,1,0,0,0,119.85,1,1
35129,2,1,2,1,0,0,0,10,2018,9,18,1,0,0,0,162.33,3,0
14137,2,0,0,2,0,0,0,1,2017,9,30,0,1,1,0,102.6,0,0
5824,2,0,1,3,0,0,0,91,2018,5,16,0,0,0,0,80.0,0,0
24589,2,2,0,4,0,0,3,155,2018,12,30,1,0,0,0,148.58,4,0
36969,1,0,2,3,0,0,1,12,2018,5,18,1,0,0,0,120.12,2,0
30148,2,0,1,1,0,0,0,152,2018,1,20,0,0,0,0,71.0,0,0
33585,3,0,2,1,0,0,1,69,2018,4,12,1,0,0,0,137.7,0,1
40997,2,0,0,1,0,0,0,275,2018,6,4,1,0,0,0,62.8,0,1
23899,2,0,2,2,2,0,0,169,2018,10,22,0,0,0,0,107.0,0,1
36570,2,0,1,2,0,0,0,99,2017,10,30,0,0,0,0,65.0,0,0
16787,2,0,0,4,0,0,0,265,2018,10,26,1,0,0,0,100.3,0,1
22510,2,0,2,3,0,0,0,212,2018,8,13,1,0,0,0,90.95,1,0
22724,1,0,0,2,0,0,0,6,2018,5,24,0,0,0,0,100.0,0,0
9235,2,0,1,0,1,0,0,260,2018,12,22,1,0,0,0,67.5,0,0
16758,2,0,2,2,0,0,0,59,2018,11,18,0,0,0,0,75.0,1,0
23327,3,0,2,0,0,0,1,50,2018,9,3,1,0,0,0,142.2,0,1
12689,3,0,1,2,0,0,1,4,2018,2,27,1,0,0,0,133.0,1,0
19125,2,0,1,2,0,0,0,66,2018,11,9,0,0,0,0,75.0,0,1
18049,2,0,0,2,0,0,0,317,2018,9,29,0,0,0,0,120.0,0,1
19608,2,0,1,1,2,0,0,103,2017,7,18,1,0,0,0,94.5,0,1
19078,2,0,2,2,0,0,0,204,2018,9,9,0,0,0,0,80.75,2,0
40372,2,0,2,3,0,0,0,198,2018,7,22,1,0,0,0,90.95,0,0
37845,2,2,2,0,0,0,3,31,2018,6,19,1,0,0,0,162.35,2,0
15265,2,0,1,2,0,0,0,44,2018,2,17,0,0,0,0,75.0,0,0
20310,2,0,1,4,0,0,1,12,2018,2,5,1,0,0,0,111.0,0,0
35586,2,0,1,2,0,0,0,279,2018,10,12,1,0,0,0,110.0,0,1
2955,2,0,1,1,0,0,0,103,2018,6,11,1,0,0,0,126.9,0,1
27095,3,0,2,0,0,0,1,210,2018,7,31,1,0,0,0,146.7,0,1
40351,1,0,2,3,1,0,0,72,2018,10,30,1,0,0,0,109.65,2,0
9779,1,0,0,2,0,0,0,103,2018,4,19,0,0,0,0,115.0,0,1
36732,2,0,1,2,0,0,0,187,2018,8,19,1,0,0,0,105.3,0,1
1039,2,0,0,3,0,0,0,259,2018,12,29,1,0,0,0,131.44,1,0
18138,2,2,2,2,0,0,3,5,2018,3,20,1,0,0,0,190.0,2,0
35513,2,1,3,5,0,0,0,155,2018,7,25,1,0,0,0,119.17,0,1
8537,1,0,2,2,0,0,0,115,2018,2,27,1,0,0,0,76.3,0,1
8006,1,0,0,2,0,0,0,27,2017,12,9,0,0,0,0,58.0,0,0
5976,1,0,0,3,0,0,0,63,2018,11,27,0,0,0,0,110.0,0,0
1896,2,1,0,2,0,0,0,2,2018,7,1,1,0,0,0,163.5,0,0
39378,2,0,1,2,0,0,1,63,2018,9,12,1,0,0,0,149.4,1,0
12958,2,0,0,2,0,0,2,0,2017,8,15,1,0,0,0,98.25,0,0
14611,2,0,0,1,0,0,0,119,2018,8,26,1,0,0,0,114.3,0,0
1318,2,0,2,5,1,0,0,207,2018,7,28,1,0,0,0,89.25,1,1
24718,2,0,2,3,0,0,2,166,2018,8,19,1,0,0,0,99.3,0,1
5068,2,0,1,3,0,0,0,229,2018,8,22,1,0,0,0,89.25,0,1
19785,2,0,0,4,2,0,0,21,2018,4,28,0,0,0,0,110.8,2,0
15030,2,0,0,3,0,0,0,160,2017,12,30,0,0,0,0,70.0,0,0
31978,2,0,0,1,0,0,0,257,2017,7,1,0,0,0,0,101.5,0,1
30579,2,0,1,0,1,1,0,133,2018,6,13,1,0,0,0,103.5,1,0
34769,2,0,0,3,0,0,1,111,2018,8,2,1,0,0,0,117.11,0,0
4469,2,0,0,4,0,0,0,162,2018,7,5,0,0,0,0,112.0,1,1
41773,2,2,1,3,0,0,3,66,2018,5,9,1,0,0,0,187.85,0,0
21669,2,0,1,0,0,0,0,95,2018,10,31,1,0,0,0,90.9,1,1
36782,2,0,0,2,0,0,0,94,2017,12,3,1,0,0,0,72.25,2,0
26204,2,0,0,3,0,0,0,143,2018,8,25,0,0,0,0,100.0,0,0
33079,2,0,1,4,2,0,0,151,2018,7,3,0,0,0,0,300.0,0,1
27795,2,0,0,1,0,0,0,36,2017,10,13,0,0,0,0,112.0,1,0
30547,1,0,1,0,0,0,0,155,2018,8,21,1,0,0,0,130.5,0,1
10369,2,0,0,3,0,0,0,146,2017,12,29,0,0,0,0,85.0,0,0
39564,2,0,2,3,0,0,0,179,2018,9,30,1,0,0,0,113.4,2,0
7581,2,0,0,2,0,0,0,181,2018,9,11,1,0,0,0,118.0,2,1
3839,2,0,0,4,0,0,0,228,2018,8,29,1,0,0,0,90.95,1,1
24721,2,0,1,3,0,0,0,184,2018,10,18,1,0,0,0,90.9,1,0
19242,2,0,1,2,0,0,0,305,2018,11,25,0,0,0,0,89.0,0,1
16231,2,0,2,2,0,0,0,48,2018,8,31,0,0,0,0,75.0,0,0
2310,2,0,0,1,1,0,0,132,2018,7,7,1,0,0,0,139.0,0,1
40043,2,0,2,4,0,0,0,12,2017,9,9,1,0,0,0,164.0,2,0
31557,2,0,0,1,0,0,0,11,2018,11,5,0,0,0,0,130.0,1,1
25162,1,0,0,1,0,0,0,71,2018,6,10,0,0,0,0,120.0,0,0
30267,2,0,2,1,2,0,4,39,2018,1,9,0,0,0,0,114.8,0,0
10915,3,0,2,3,0,0,1,1,2018,8,14,1,0,0,0,168.5,0,0
14337,2,0,0,1,0,0,0,136,2018,5,24,1,0,0,0,121.5,0,1
16270,2,0,0,2,2,0,0,68,2017,9,29,1,0,0,0,0.0,0,0
17213,2,0,2,2,2,0,0,141,2018,7,23,0,0,0,0,107.0,1,0
31506,2,0,1,4,0,0,0,29,2017,10,31,0,0,0,0,57.0,0,0
38161,2,0,0,2,0,0,1,40,2017,10,24,0,0,0,0,85.0,0,0
29010,2,0,0,2,0,0,0,245,2018,4,6,0,0,0,0,75.0,0,1
9929,2,0,0,2,0,0,0,4,2018,9,13,0,0,0,0,95.0,0,0
23967,2,1,0,2,0,0,0,64,2018,4,23,1,0,0,0,115.03,1,0
623,1,0,1,1,0,0,0,268,2018,10,1,1,0,0,0,95.4,0,0
30956,2,0,2,3,0,0,0,40,2017,10,13,0,0,0,0,75.27,1,0
27247,2,0,1,3,0,0,1,290,2018,12,12,1,0,0,0,86.7,0,1
15207,2,0,0,3,0,0,0,271,2018,9,13,0,0,0,0,101.33,1,1
18202,1,0,0,2,0,0,0,68,2017,9,29,1,0,0,0,0.0,0,0
36581,2,0,1,3,2,0,0,210,2017,9,8,0,0,0,0,86.0,0,1
13477,2,0,2,5,0,0,1,120,2018,8,9,1,0,0,0,127.8,0,1
18769,2,0,0,2,0,0,0,240,2018,8,18,1,0,0,0,95.4,0,1
6604,2,0,2,2,2,0,0,117,2017,8,1,0,0,0,0,94.5,0,0
17930,2,0,4,8,0,0,0,50,2018,3,11,1,0,0,0,78.3,0,1
19124,2,0,1,3,0,0,0,287,2018,9,29,1,0,0,0,106.2,2,1
13837,2,0,1,3,0,0,1,89,2018,7,18,1,0,0,0,121.8,0,1
1296,2,0,1,5,0,0,0,49,2017,12,19,0,0,0,0,71.0,0,0
20016,2,0,1,1,1,0,0,122,2018,6,27,0,0,0,0,86.0,0,0
40061,2,0,2,2,2,0,0,273,2017,7,17,1,0,0,0,80.0,0,1
20441,2,0,6,14,1,0,0,11,2018,11,18,1,0,0,0,75.86,0,1
40690,3,0,3,7,0,0,0,70,2018,5,11,1,0,0,0,150.45,2,1
586,2,0,0,1,0,1,0,37,2018,10,25,0,0,0,0,85.5,0,0
40745,2,0,1,1,0,0,0,124,2018,8,8,0,0,0,0,72.25,0,0
4667,1,0,2,1,2,0,0,23,2018,1,4,0,0,0,0,96.0,0,0
19753,2,0,2,3,2,0,0,1,2017,8,15,0,0,0,0,138.5,2,0
1026,2,0,1,3,0,0,1,21,2018,3,21,1,0,0,0,64.22,1,0
2578,2,0,1,1,0,0,1,145,2018,6,17,1,0,0,0,118.8,0,1
37695,2,0,1,3,0,0,0,211,2018,8,7,1,0,0,0,90.95,2,0
16982,2,0,2,5,0,0,0,166,2018,6,29,1,0,0,0,99.45,0,1
32229,2,0,1,2,2,0,0,418,2018,9,26,1,0,0,0,107.0,2,1
30777,3,0,0,2,0,0,1,4,2018,3,2,1,0,0,0,133.0,0,1
22739,2,0,1,2,0,0,0,74,2018,4,4,0,0,0,0,80.75,0,0
6018,1,0,2,1,0,0,0,115,2018,2,27,0,0,0,0,81.0,0,0
11355,2,0,1,3,0,0,0,159,2018,8,7,1,0,0,0,114.75,1,1
8670,2,0,0,3,0,0,1,28,2017,10,26,0,0,0,0,97.0,0,0
23658,2,0,2,3,0,0,0,75,2018,3,17,0,0,0,0,80.0,0,0
5740,2,0,2,2,0,0,0,159,2018,5,13,1,0,0,0,114.75,1,0
23571,2,0,2,1,0,0,0,97,2018,10,17,0,0,0,0,80.75,1,1
38943,2,0,1,3,2,1,0,109,2018,8,4,1,0,0,0,176.25,1,0
2091,2,0,2,2,0,0,0,84,2018,10,16,0,0,0,0,80.75,2,0
25505,2,0,2,2,0,0,0,18,2017,11,13,0,0,0,0,75.0,0,0
35189,2,0,0,2,0,0,0,105,2018,4,13,0,0,0,0,75.0,1,1
23037,2,0,2,1,1,0,0,154,2018,7,31,1,0,0,0,94.5,0,1
5336,2,0,2,4,0,1,0,108,2017,9,19,1,0,0,0,98.25,1,0
4717,2,0,1,3,1,0,0,159,2018,9,29,1,0,0,0,113.4,0,1
26960,2,2,2,1,0,0,3,145,2018,10,29,1,0,0,0,184.95,0,0
29584,2,0,0,3,2,0,0,34,2017,8,23,0,0,0,0,224.67,0,1
37035,2,0,2,1,0,0,0,109,2017,7,18,1,0,0,0,76.5,0,1
34602,2,1,0,1,0,0,0,27,2018,2,12,1,0,0,0,109.0,0,1
16062,2,0,0,4,0,0,0,270,2018,4,22,0,0,0,0,62.8,0,1
41172,2,0,0,2,0,0,1,82,2018,6,30,1,0,0,0,88.01,1,0
39901,2,0,0,3,0,0,1,103,2018,5,5,1,0,0,0,95.88,1,1
29103,2,0,0,5,0,0,0,166,2018,8,13,1,0,0,0,89.25,0,0
80,2,0,1,5,1,0,0,113,2018,6,30,1,0,0,0,85.0,0,1
17863,2,0,0,4,0,0,1,156,2018,8,6,1,0,0,0,97.75,0,1
24055,1,0,0,1,0,0,0,86,2017,9,24,0,0,0,0,87.5,0,0
13471,3,0,0,2,0,0,1,84,2018,8,10,1,0,0,0,159.3,0,1
41963,2,0,2,4,0,0,0,151,2018,10,6,1,0,0,0,91.48,0,1
29573,2,0,0,2,0,0,0,39,2018,12,14,0,0,0,0,65.0,1,0
39171,2,0,2,4,0,0,1,105,2018,8,24,1,0,0,0,150.3,0,1
27908,2,0,1,2,0,0,0,113,2018,5,1,1,0,0,0,105.3,0,0
15947,2,0,1,2,1,0,0,121,2018,11,12,1,0,0,0,79.2,0,1
22903,2,0,2,0,0,0,0,13,2018,3,20,0,0,0,0,85.0,0,1
24041,2,0,3,5,0,0,1,61,2018,5,25,1,0,0,0,159.17,2,0
39036,3,0,1,0,0,0,1,1,2018,5,22,1,0,0,0,157.0,2,0
32653,2,2,0,3,0,0,3,55,2018,9,16,1,0,0,0,207.9,3,0
29366,2,0,2,5,1,0,0,18,2017,9,12,0,0,0,0,76.8,0,0
26596,2,1,0,3,0,0,0,5,2018,10,20,1,0,0,0,160.0,3,0
