id,CementComponent,BlastFurnaceSlag,FlyAshComponent,WaterComponent,SuperplasticizerComponent,CoarseAggregateComponent,FineAggregateComponent,AgeInDays,Strength
2005,157.0,116.0,89.6,192.0,7.0,927.4,839.2,28,41.37
2478,339.2,0.0,0.0,197.9,6.0,968.0,781.2,91,54.6
2016,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,37.92
2157,305.3,203.5,0.0,203.5,0.0,965.4,631.0,90,37.43
720,251.4,0.0,98.8,146.1,10.4,1006.0,899.8,100,55.51
3164,198.6,166.8,0.0,192.0,0.0,978.4,825.5,365,27.34
2629,425.0,106.3,0.0,153.9,8.9,887.1,889.0,28,41.2
1893,362.6,189.0,0.0,164.9,23.4,944.7,755.8,28,35.23
602,238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7,8.0
3649,218.9,0.0,124.3,158.3,11.8,1078.7,794.9,14,24.45
4284,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,24.13
1606,213.8,98.1,24.5,181.7,6.7,1066.0,785.5,3,36.8
1334,250.0,0.0,95.7,187.4,5.5,956.9,861.2,28,32.84
3435,446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,32.72
4698,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90,52.83
318,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.97
274,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7,21.29
4661,349.0,0.0,0.0,192.0,0.0,1047.0,806.2,90,33.42
2892,376.0,0.0,0.0,214.6,0.0,1003.5,762.4,14,25.51
2732,150.0,206.5,160.9,178.9,11.1,866.9,735.6,28,19.01
1361,491.0,26.0,123.0,201.0,3.9,882.0,699.0,3,4.78
2813,302.0,0.0,0.0,203.0,0.0,974.0,817.0,180,41.54
4259,297.2,0.0,117.5,174.8,9.5,1022.8,753.5,28,52.43
5214,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,28.24
295,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,7,18.13
1244,255.0,170.3,0.0,192.0,0.0,916.8,749.1,28,31.9
1561,333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,7.72
298,133.0,200.0,0.0,192.0,0.0,965.4,827.0,28,35.3
68,531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,35.36
736,186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28,55.55
4473,304.0,0.0,0.0,228.0,0.0,932.0,670.0,180,40.2
5403,350.0,0.0,0.0,203.0,0.0,974.0,775.0,180,49.2
1776,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28,48.15
150,374.0,0.0,0.0,170.2,11.2,1007.3,730.4,56,72.99
756,277.0,0.0,0.0,191.0,3.0,968.0,676.0,28,29.0
5086,144.0,170.0,133.0,192.0,8.0,814.0,805.0,28,28.94
2890,362.6,0.0,0.0,164.9,11.6,944.7,755.8,3,25.02
4773,212.5,0.0,124.3,158.3,9.9,1078.7,799.5,56,33.56
3053,382.0,0.0,0.0,185.0,0.0,1047.0,739.0,90,69.66
1520,252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,28.47
376,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180,65.2
1612,164.2,0.0,150.4,181.2,12.6,1023.3,728.9,28,29.87
859,203.5,135.7,0.0,185.7,0.0,1076.2,759.3,28,37.23
3319,214.9,53.8,141.6,155.6,9.6,1014.3,780.6,100,39.61
4103,500.1,0.0,0.0,200.0,0.0,1125.0,613.2,90,32.66
378,133.0,200.0,0.0,192.0,0.0,927.4,839.2,90,26.23
1723,200.0,214.0,185.0,185.0,7.0,819.0,704.0,28,33.27
3617,236.0,0.0,0.0,193.0,0.0,968.0,885.0,180,24.28
2224,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,41.24
4189,480.0,0.0,0.0,192.0,0.0,936.0,721.0,7,39.58
4851,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90,48.79
2924,212.0,0.0,100.0,159.0,7.8,959.2,705.2,28,27.68
841,339.0,0.0,0.0,197.0,0.0,968.0,781.0,7,14.5
2124,165.0,0.0,143.6,163.8,0.0,1005.6,900.9,14,21.82
1832,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,14,12.84
175,382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,37.34
2758,281.0,0.0,0.0,186.0,0.0,1104.0,774.0,7,30.28
927,313.0,145.0,113.0,178.0,7.0,833.0,816.0,28,32.05
2686,236.0,157.0,0.0,192.0,0.0,972.6,749.1,3,9.74
45,156.0,183.0,0.0,193.0,2.0,1047.0,697.0,28,24.24
1096,313.3,145.0,0.0,178.5,8.0,1002.0,688.7,28,29.39
3529,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,90,36.35
1468,325.0,0.0,0.0,192.0,0.0,1063.0,783.0,28,66.78
4604,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,48.59
2819,164.2,0.0,143.0,163.0,0.0,1005.6,900.9,3,25.02
5038,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270,55.16
4718,312.7,0.0,0.0,178.1,8.0,999.7,822.2,28,39.4
3881,480.0,0.0,0.0,192.0,0.0,936.2,712.2,28,33.36
4303,424.0,22.0,132.0,178.0,8.5,822.0,824.0,28,36.56
283,375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,32.4
3846,148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28,36.56
3187,254.0,0.0,0.0,198.0,0.0,968.0,863.0,28,24.0
1718,116.0,173.5,0.0,192.0,0.0,956.9,861.2,90,53.96
4733,326.0,0.0,0.0,199.0,11.0,801.0,792.0,28,38.07
1371,152.0,178.0,138.0,167.0,18.0,944.0,695.0,28,46.39
5198,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180,43.89
2098,212.0,0.0,125.2,180.3,11.6,1057.6,779.3,100,39.3
3095,251.4,0.0,118.3,192.9,5.8,1043.6,754.3,28,29.65
2416,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,28.99
2093,350.0,0.0,0.0,203.0,0.0,974.0,775.0,3,4.83
4513,203.5,305.3,0.0,203.5,0.0,963.4,630.0,7,11.96
3142,469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,41.05
2802,387.0,20.0,94.0,157.0,13.9,938.0,845.0,56,52.44
1862,500.0,0.0,0.0,200.0,0.0,1100.0,820.0,28,21.91
2346,424.0,22.0,132.0,168.0,20.8,822.0,750.0,28,53.69
4928,233.8,0.0,94.6,197.9,4.6,947.0,847.0,3,13.2
257,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,180,40.93
3096,157.0,236.0,0.0,228.0,0.0,932.0,670.0,365,67.57
1595,288.0,192.0,0.0,192.0,0.0,932.0,717.8,28,33.4
99,252.5,0.0,0.0,185.7,0.0,1111.6,784.3,7,11.17
2515,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,54.9
1617,322.0,0.0,107.0,196.0,11.0,819.0,778.0,28,35.1
4926,239.6,359.4,0.0,201.9,6.4,842.6,655.3,28,28.99
2856,212.6,0.0,100.4,159.4,8.7,1003.8,903.8,28,50.73
1755,102.0,153.0,0.0,192.0,0.0,1124.0,783.0,3,24.1
3808,382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,46.39
3858,295.8,0.0,0.0,185.7,0.0,1091.4,769.3,7,16.89
366,236.0,157.0,0.0,192.0,0.0,887.0,942.0,90,17.24
2584,222.4,0.0,96.7,189.3,4.5,967.1,870.3,100,37.34
1503,333.0,0.0,0.0,192.0,0.0,931.2,842.6,7,14.5
4272,307.0,0.0,0.0,192.0,0.0,968.0,812.0,3,6.81
3119,322.0,0.0,116.0,180.0,11.0,904.0,817.0,28,7.51
949,491.0,26.0,123.0,210.0,3.9,882.0,699.0,3,34.57
5282,182.0,42.1,122.0,170.2,8.2,1059.4,780.7,3,6.81
19,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100,45.3
1773,159.0,149.0,116.0,175.0,10.0,920.0,720.0,28,42.29
668,135.0,162.0,126.0,172.0,10.0,923.0,764.0,28,36.45
218,382.5,0.0,0.0,185.7,0.0,1047.8,739.3,365,43.7
4041,250.0,0.0,0.0,185.7,0.0,1069.2,769.3,7,10.22
4299,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,3,14.8
3848,148.0,0.0,126.0,167.0,11.0,870.0,778.0,28,23.89
4017,153.0,237.0,0.0,200.0,12.0,1002.0,683.0,28,36.8
4487,313.0,145.0,113.0,178.0,8.3,833.0,824.0,28,6.81
2609,190.0,190.0,0.0,195.0,0.0,1145.0,660.0,28,30.45
777,296.0,0.0,0.0,186.0,0.0,1119.0,769.0,28,21.54
2594,195.6,0.0,195.2,185.7,7.6,1055.0,744.2,3,13.62
1018,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,57.21
2067,238.2,158.8,0.0,186.7,0.0,1040.6,734.3,7,21.91
2812,139.6,209.4,0.0,185.7,0.0,1047.4,739.3,28,29.87
2516,236.0,0.0,0.0,194.0,0.0,968.0,885.0,7,14.2
2399,540.0,53.8,0.0,173.1,2.5,926.1,664.3,7,35.76
517,336.5,0.0,0.0,181.9,3.4,985.8,816.8,28,22.53
2996,302.0,0.0,0.0,203.0,0.0,974.0,817.0,180,32.05
4711,304.0,76.0,0.0,228.0,0.0,932.0,670.0,14,21.07
2980,252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,25.51
1888,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,20.87
4930,252.3,0.0,98.8,146.3,14.2,987.8,889.0,14,36.99
3337,153.0,145.0,113.0,178.0,8.0,867.0,824.0,28,13.71
3947,153.0,102.0,0.0,192.0,0.0,888.0,943.1,7,24.0
5160,170.3,190.3,0.0,185.7,0.0,1076.2,759.3,28,65.2
4982,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,40.86
1052,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,66.42
3094,153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28,31.88
759,236.0,0.0,0.0,194.0,0.0,968.0,885.0,28,25.62
3112,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7,35.17
4966,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,100,47.13
214,289.0,0.0,0.0,192.0,0.0,965.4,765.6,28,47.1
5156,322.0,0.0,142.0,168.0,9.0,904.0,805.0,28,38.77
2254,425.0,166.8,0.0,153.5,16.1,852.1,840.5,3,35.3
1583,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90,47.74
2471,200.0,133.0,0.0,192.0,0.0,965.4,806.2,28,29.79
3795,500.0,0.0,0.0,186.0,0.0,1125.0,714.0,3,15.05
5391,252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,23.08
196,220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28,50.24
4738,150.7,0.0,185.3,166.7,16.5,1074.5,678.0,28,15.57
2063,382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,33.76
3802,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,33.08
1056,252.0,0.0,0.0,186.0,0.0,1111.0,784.0,28,69.84
2990,182.0,45.2,124.3,158.5,10.8,1080.8,796.2,100,50.08
887,333.0,0.0,0.0,192.0,0.0,942.7,943.1,90,37.27
5181,339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7,9.62
3497,250.0,190.0,0.0,203.5,0.0,965.4,856.8,28,55.02
4333,153.0,239.0,0.0,200.0,6.0,1002.0,689.0,28,26.86
568,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90,39.7
4512,149.0,0.0,128.0,182.0,7.0,953.0,780.0,28,25.37
3442,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,21.07
1344,295.7,0.0,95.6,194.9,5.5,955.1,859.2,14,26.92
139,397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28,32.88
1471,139.6,209.4,0.0,192.0,0.0,909.8,891.9,3,23.84
3759,203.5,183.9,0.0,203.5,0.0,966.0,763.4,7,13.2
1149,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7,17.22
2704,157.0,236.0,0.0,192.0,0.0,935.4,885.0,28,24.1
5317,350.0,0.0,0.0,203.0,0.0,974.0,775.0,7,10.34
3938,167.4,129.9,128.6,171.5,3.6,1006.3,746.6,14,24.9
463,133.0,200.0,0.0,192.0,7.0,965.4,806.2,3,22.32
4657,339.0,0.0,0.0,186.0,0.0,1069.0,754.0,28,35.23
3865,280.0,129.0,100.0,172.0,9.0,825.0,805.0,28,30.88
4507,382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,32.05
594,234.0,156.0,0.0,189.0,7.0,981.0,760.0,28,32.96
2536,236.0,0.0,0.0,194.0,0.0,968.0,885.0,90,39.44
450,381.4,0.0,0.0,185.7,0.0,1104.6,784.3,7,17.37
4850,359.0,19.0,141.0,154.0,10.9,942.0,801.0,56,56.74
3565,255.0,0.0,0.0,192.0,0.0,931.2,842.6,3,9.74
1926,236.0,157.0,0.0,192.0,0.0,935.4,781.2,7,17.22
2080,157.0,236.0,0.0,191.4,5.3,946.8,852.2,28,39.84
2317,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180,41.72
1600,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,36.3
1421,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14,35.23
1174,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,28,29.72
1964,397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7,38.6
451,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,55.2
4554,194.7,0.0,125.2,183.4,9.9,998.0,903.6,28,21.29
3489,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,69.66
5001,255.0,0.0,0.0,192.0,0.0,929.8,716.1,3,10.34
3780,133.0,200.0,0.0,192.0,0.0,927.4,839.2,28,42.7
2642,158.4,139.9,119.9,179.0,22.0,822.0,780.0,28,39.15
1263,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7,18.91
5061,385.0,0.0,0.0,186.0,0.0,966.0,763.0,7,15.53
999,260.0,101.0,78.0,171.0,5.0,936.0,763.0,28,44.28
1919,192.0,288.0,0.0,192.0,0.0,929.8,716.1,7,11.48
4676,289.0,0.0,0.0,192.0,0.0,913.2,895.3,90,44.87
192,296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28,34.68
4235,385.0,0.0,0.0,186.0,0.0,1066.0,765.0,3,14.5
4872,252.5,117.2,98.8,157.9,14.2,846.9,845.0,3,21.86
4521,251.4,0.0,118.3,192.9,5.8,1043.6,754.3,56,39.61
1557,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,15.05
4573,233.8,0.0,94.6,197.9,4.6,947.0,852.2,100,79.99
4788,277.0,0.0,0.0,191.0,0.0,968.0,856.0,7,30.45
1338,446.0,0.0,79.0,162.0,11.6,967.0,712.0,14,25.46
4447,252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,67.11
2984,200.0,0.0,0.0,180.0,0.0,1125.0,845.0,365,52.04
3074,313.3,262.2,0.0,175.5,6.9,1055.6,659.9,28,55.9
5247,480.0,0.0,0.0,192.0,0.0,936.2,712.2,28,39.09
1293,349.0,0.0,0.0,192.0,0.0,968.0,806.2,90,30.28
4058,153.0,102.0,0.0,192.0,0.0,888.0,943.1,3,13.2
4534,359.4,359.4,0.0,151.4,18.6,936.2,803.7,7,18.2
3126,236.0,157.0,0.0,192.0,0.0,972.6,749.1,90,33.19
3101,389.9,189.0,0.0,145.9,22.0,944.7,755.8,56,63.14
3471,236.0,157.0,0.0,192.0,0.0,972.6,749.1,7,14.14
368,212.0,141.3,0.0,203.5,0.0,973.4,750.0,90,71.99
1151,252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,39.27
2103,362.6,189.0,0.0,164.9,7.5,944.7,755.8,7,36.45
4292,425.0,106.3,0.0,153.5,16.5,852.1,887.1,100,40.27
4456,190.3,0.0,125.2,166.6,9.9,1079.0,798.9,100,48.59
5315,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,100,66.6
191,376.0,0.0,0.0,214.6,0.0,1003.5,762.4,28,39.3
4770,173.8,170.2,159.9,181.7,8.2,1055.6,771.9,28,50.08
108,250.0,0.0,0.0,182.0,0.0,1100.0,820.0,7,17.37
1760,475.0,0.0,0.0,228.0,0.0,932.0,713.2,28,82.6
2767,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,14.99
3162,491.0,26.0,123.0,201.0,3.9,822.0,699.0,7,41.2
1360,349.0,0.0,0.0,192.0,0.0,1056.0,774.0,180,39.06
1593,333.0,0.0,0.0,192.0,0.0,931.2,842.6,28,33.05
4717,252.0,0.0,0.0,186.0,0.0,1111.0,784.0,28,74.5
5260,238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28,32.72
2476,252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,22.84
4204,190.7,0.0,125.2,174.0,7.4,1040.6,734.3,28,23.51
2941,295.0,0.0,0.0,185.0,0.0,1069.0,769.0,7,19.42
3151,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,28,27.68
476,251.4,0.0,118.3,192.9,5.8,1043.6,759.3,14,21.92
3158,200.0,133.0,0.0,192.0,0.0,965.4,806.2,7,12.45
3979,446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,19.52
312,350.0,0.0,0.0,203.0,0.0,974.0,775.0,7,21.65
508,387.0,20.0,94.0,157.0,14.3,938.0,845.0,56,56.5
166,200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28,47.71
3412,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,55.55
2585,382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28,35.75
1024,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270,42.13
1221,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,270,55.94
4254,446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,61.07
2053,246.8,0.0,125.1,143.3,0.0,1086.8,800.9,14,27.42
5031,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7,33.0
3270,500.0,0.0,0.0,140.0,5.7,966.0,853.0,28,52.3
4378,150.0,0.0,0.0,203.0,0.0,974.0,800.0,28,21.5
1666,149.0,0.0,200.0,163.0,11.0,1088.0,690.0,28,18.13
2232,190.7,0.0,125.8,162.1,7.8,1090.0,804.0,100,40.66
2240,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,56,53.9
4831,167.4,120.5,86.1,175.1,7.6,1005.8,746.6,28,39.61
3148,288.0,0.0,0.0,192.0,0.0,932.0,817.0,3,41.3
1672,116.0,183.9,0.0,173.8,0.0,1047.8,739.3,28,52.42
2222,298.0,0.0,107.0,193.0,6.0,819.0,778.0,28,30.22
3459,296.0,0.0,106.7,221.4,10.5,819.2,778.4,28,38.33
152,252.0,0.0,0.0,185.0,0.0,1111.0,784.0,3,9.31
2131,362.6,189.0,0.0,164.9,11.6,944.0,755.8,7,46.68
3671,397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7,20.59
5069,387.0,20.0,94.0,157.0,11.6,938.0,845.0,7,33.42
4049,424.0,22.0,132.0,178.0,8.5,822.0,750.0,28,60.29
2602,252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.58
1553,230.0,0.0,118.3,195.7,4.6,1029.4,758.6,28,30.08
2576,332.5,142.5,0.0,228.0,0.0,932.0,670.0,365,55.26
5002,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,71.7
1454,295.0,0.0,0.0,185.0,0.0,1055.0,769.0,28,52.42
5210,252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,39.3
4769,145.0,198.0,0.0,199.0,8.0,966.0,863.0,28,21.54
2177,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3,14.31
31,425.0,0.0,94.1,191.8,5.5,938.2,822.2,3,17.54
1225,393.0,0.0,0.0,192.0,0.0,940.0,758.0,90,48.67
937,153.0,0.0,0.0,192.0,0.0,888.0,943.1,90,56.81
1620,531.3,0.0,0.0,141.8,28.2,852.1,893.7,7,46.8
752,297.2,0.0,117.5,174.8,9.5,1022.8,753.5,28,41.05
4305,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,7,11.85
309,155.0,145.0,184.0,179.0,8.0,867.0,824.0,28,24.5
2868,359.0,19.0,141.0,154.0,11.6,936.0,801.0,180,37.43
4480,382.5,0.0,0.0,185.7,0.0,1047.8,739.3,90,37.8
3647,167.4,0.0,158.8,169.6,7.9,1007.3,746.6,3,9.45
2462,122.6,183.9,0.0,203.5,0.0,958.2,800.1,28,28.99
3784,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,3,9.69
495,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,33.04
1405,339.2,0.0,0.0,185.7,0.0,1069.2,754.3,28,31.27
3554,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,360,32.01
205,350.0,0.0,0.0,186.0,0.0,1075.0,775.0,7,25.46
1135,289.0,133.7,0.0,192.0,8.5,961.2,805.3,28,34.4
3116,238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28,65.7
3929,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,48.79
701,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,35.3
305,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,38.46
2836,469.0,117.2,0.0,137.8,32.2,852.1,840.5,28,56.74
1192,331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,14.64
4844,167.4,129.9,128.6,175.5,5.7,1006.3,696.7,14,33.4
5122,251.4,0.0,118.3,192.9,5.8,1043.6,754.3,100,59.76
1061,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,7,21.92
843,277.2,97.8,24.5,160.5,11.2,1061.7,782.5,100,55.94
3167,304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,69.66
3298,252.5,0.0,0.0,185.7,0.0,1118.8,789.3,7,21.86
211,500.0,0.0,0.0,200.0,11.0,1130.0,745.0,28,74.99
1340,250.0,0.0,0.0,173.0,0.0,1125.0,613.0,3,23.4
1108,500.0,0.0,0.0,200.0,15.0,1125.0,613.0,3,15.57
4219,153.1,145.0,0.0,178.1,6.4,1001.9,688.7,28,25.61
679,385.0,0.0,0.0,186.0,0.0,966.0,763.0,7,52.01
2228,167.4,42.1,163.4,165.6,7.8,1001.9,688.2,100,52.45
4747,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,48.7
565,182.0,0.0,0.0,170.2,8.2,1059.4,780.7,28,72.1
1501,255.0,0.0,94.0,168.0,7.0,968.0,856.0,28,24.1
4145,148.1,0.0,137.9,158.1,17.9,1001.8,830.1,28,55.6
680,134.0,166.0,134.0,179.0,18.0,879.0,774.0,28,52.3
